#,Skater,JAMMER,PIVOT,BLOCKER,TOTAL,%  JAMS SKATED,POINTS,PPJ,LOST,LEAD,CALLED,NO INITIAL TRIP,STAR PASSES RECEIVED,LEAD %,LEAD +/-,AVERAGE LEAD +/-,PTS  FOR,PTS AGAINST,TOTAL +/-,JAMMER +/-,AVERAGE JAMMER +/-,PIVOT +/-,AVERAGE PIVOT +/-,BLOCK +/-,AVERAGE BLOCKER +/-,PACK +/-,"AVERAGE
PACK +/-",AVG +/-,VTAR PTS FOR,VTAR  PTS AGAINST,VTAR  TOTAL +/-,VTAR JAMMER AVG +/-,VTAR PIVOT AVG +/-,VTAR BLOCKER AVG +/-,"VTAR PACK
AVG +/-",TOTAL VTAR AVG +/-,SKATERS PENALTY COUNT
121,Jigglewatts,0,9,12,21,49%,,,,,,,,,,,145,50,95,,,43,4.78,52,4.33,95,4.52,4.52,57.7,26,31.7,,0.36,0.67,0.51,0.55,3
124,Ka-Blamazon,0,0,15,15,35%,,,,,,,,,,,105,22,83,,,,,83,5.53,83,5.53,5.53,17.7,-2,19.7,,,1.87,1.52,1.55,1
18,Stitches,0,0,22,22,51%,,,,,,,,,,,129,27,102,,,,,102,4.64,102,4.64,4.64,41.7,3,38.7,,,0.98,0.62,0.66,1
220,Electra Cal,0,19,5,24,56%,,,,,,,,,,,122,28,94,,,95,5,-1,-0.2,94,3.92,3.92,34.7,4,30.7,,0.59,-3.86,-0.1,-0.06,3
23,SinTilly,1,15,6,21,49%,0,0,0,0,0,0,1,,0,,118,45,73,0,0,52,3.47,21,3.5,73,3.48,3.48,30.7,21,9.7,-3.17,-0.95,-0.16,-0.54,-0.5,3
329,Elita One,0,0,22,22,51%,,,,,,,,,,,118,27,91,,,,,91,4.14,91,4.14,4.14,30.7,3,27.7,,,0.48,0.12,0.16,2
42,Virginia Slam,0,0,11,11,26%,,,,,,,,,,,63,29,34,,,,,34,3.09,34,3.09,3.09,-24.3,5,-29.3,,,-0.57,-0.93,-0.89,2
43,Rosie the Riveter,12,0,0,12,28%,101,8.42,0,12,9,0,0,100%,97,8.08,101,4,97,97,8.08,,,,,,,8.08,13.7,-20,33.7,4.91,,,,4.1,0
53,Punch Bug,14,0,0,14,33%,95,6.79,4,9,7,0,0,64%,72,8,95,29,66,66,4.71,,,,,,,4.71,7.7,5,2.7,1.54,,,,0.74,4
57,Hines,0,0,19,19,44%,,,,,,,,,,,140,33,107,,,,,107,5.63,107,5.63,5.63,52.7,9,43.7,,,1.97,1.61,1.65,1
671,Ruff Edges,5,0,1,6,14%,15,3,1,3,3,1,0,60%,15,5,28,16,12,7,1.4,,,5,5,5,5,2,-59.3,-8,-51.3,-1.77,,1.34,0.98,-1.98,3
7,AKA Rogue,12,0,0,12,28%,51,4.25,2,4,2,2,0,33%,32,8,51,31,20,20,1.67,,,,,,,1.67,-36.3,7,-43.3,-1.51,,,,-2.31,3
777,SMASH,0,0,1,1,2%,,,,,,,,,,,4,0,4,,,,,4,4,4,4,4,-83.3,-24,-59.3,,,0.34,-0.02,0.02,0
911,Toxic Moxie,0,0,2,2,5%,,,,,,,,,,,4,7,-3,,,,,-3,-1.5,-3,-1.5,-1.5,-83.3,-17,-66.3,,,-5.16,-5.52,-5.48,0
927,Bella No Way,0,0,13,13,30%,,,,,,,,,,,87,12,75,,,,,75,5.77,75,5.77,5.77,-0.3,-12,11.7,,,2.11,1.75,1.79,1
