#,SKATER,,Misconduct,High Block,Back Block,Low Block,Leg Block,Forearms,Head Block,Multiplayer,Illegal Contact,Direction,Illegal Position,Cut,Interference,Illegal Procedure,,,TOTAL ,Penalty Count,Expulsion,Jams Skated,Penalties Per Jam
1130,Sass Machine,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,2,2,,15,13%
14,Sailor Zoom,,1,0,0,0,0,1,0,1,0,2,1,0,0,0,,,6,6,,20,30%
187,Princess DIE,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,2,2,,18,11%
27,Otter Chaos,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,1,1,,7,14%
3019,Eowound of Roharm,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,2,2,,7,29%
369,Whiskey Kitty,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,1,1,,6,17%
404,Ginja Ninja,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,,2,2,,10,20%
548,GrootForce,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,,20,5%
77,Jack Knife,,0,0,0,0,0,2,0,0,0,2,0,0,0,0,,,4,4,,20,20%
777,SMASH,,0,2,1,0,0,0,0,0,1,0,0,2,0,0,,,6,6,,13,46%
79,Ellen R.I.Pley,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,2,2,,9,22%
86,Lil' Red Right Hook,,0,0,0,0,0,1,0,0,0,1,2,0,0,0,,,4,4,,20,20%
911,Toxic Moxie,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,1,1,,21,5%
927,Bella NoWay,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,,11,9%
97,Briggie Smalls,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,5,0%
