#,Skater,JAMMER,PIVOT,BLOCKER,TOTAL,%  JAMS SKATED,POINTS,PPJ,LOST,LEAD,CALLED,NO INITIAL TRIP,STAR PASSES RECEIVED,LEAD %,LEAD +/-,AVERAGE LEAD +/-,PTS  FOR,PTS AGAINST,TOTAL +/-,JAMMER +/-,AVERAGE JAMMER +/-,PIVOT +/-,AVERAGE PIVOT +/-,BLOCK +/-,AVERAGE BLOCKER +/-,PACK +/-,"AVERAGE
PACK +/-",AVG +/-,VTAR PTS FOR,VTAR  PTS AGAINST,VTAR  TOTAL +/-,VTAR JAMMER AVG +/-,VTAR PIVOT AVG +/-,VTAR BLOCKER AVG +/-,"VTAR PACK
AVG +/-",TOTAL VTAR AVG +/-,SKATERS PENALTY COUNT
14,Salior Zoom,9,0,0,9,19%,20,2.22,3,3,1,0,0,33%,2,0.67,20,52,-32,-32,-3.56,,,,,,,-3.56,-33.7,2.7,-36.3,-3.54,,,,-3.55,3
187,Princess Die,0,0,24,24,51%,,,,,,,,,,,86,59,27,,,,,27,1.13,27,1.13,1.13,32.3,9.7,22.7,,,1.1,1.12,1.13,2
3019,Éowound of Roharm,12,0,0,12,26%,29,2.42,0,7,7,0,0,58%,23,3.29,29,24,5,5,0.42,,,,,,,0.42,-24.7,-25.3,0.7,0.43,,,,0.42,0
369,Whiskey Kitty,0,0,8,8,17%,,,,,,,,,,,37,22,15,,,,,15,1.88,15,1.88,1.88,-16.7,-27.3,10.7,,,1.85,1.87,1.88,1
548,GrootForce,0,18,7,25,53%,,,,,,,,,,,92,116,-24,,,-47,-2.61,23,3.29,-24,-0.96,-0.96,38.3,66.7,-28.3,,-3.56,3.26,-0.96,-0.96,3
64,A-Bomb,0,8,16,24,51%,,,,,,,,,,,84,96,-12,,,20,2.5,-32,-2,-12,-0.5,-0.5,30.3,46.7,-16.3,,1.55,-2.03,-0.5,-0.5,7
671,Ruff Edges,13,0,0,13,28%,66,5.08,3,7,5,2,0,54%,54,7.71,66,40,26,26,2,,,,,,,2,12.3,-9.3,21.7,2.02,,,,2,3
762,Killer Miller,0,0,4,4,9%,,,,,,,,,,,23,18,5,,,,,5,1.25,5,1.25,1.25,-30.7,-31.3,0.7,,,1.22,1.25,1.25,0
77,Jack Knife,0,20,4,24,51%,,,,,,,,,,,81,47,34,,,38,1.9,-4,-1,34,1.42,1.42,27.3,-2.3,29.7,,0.95,-1.03,1.42,1.42,3
777,Smash,0,0,18,18,38%,,,,,,,,,,,50,67,-17,,,,,-17,-0.94,-17,-0.94,-0.94,-3.7,17.7,-21.3,,,-0.97,-0.95,-0.94,3
79,Ellen RIPley,13,0,0,13,28%,46,3.54,3,9,6,0,0,69%,26,2.89,46,32,14,14,1.08,,,,,,,1.08,-7.7,-17.3,9.7,1.09,,,,1.08,5
815,FormaldeHeidi,0,0,4,4,9%,,,,,,,,,,,9,32,-23,,,,,-23,-5.75,-23,-5.75,-5.75,-44.7,-17.3,-27.3,,,-5.78,-5.75,-5.75,0
86,Lil' Red Right Hook,0,1,21,22,47%,,,,,,,,,,,67,44,23,,,2,2,21,1,23,1.05,1.05,13.3,-5.3,18.7,,1.05,0.97,1.04,1.05,2
911,Toxic Moxie,0,0,17,17,36%,,,,,,,,,,,67,30,37,,,,,37,2.18,37,2.18,2.18,13.3,-19.3,32.7,,,2.15,2.18,2.18,4
97,Briggie Smalls,0,0,18,18,38%,,,,,,,,,,,48,61,-13,,,,,-13,-0.72,-13,-0.72,-0.72,-5.7,11.7,-17.3,,,-0.75,-0.72,-0.72,1
27,Otter Chaos,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Screama Williams,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
