#,Skater,JAMMER,PIVOT,BLOCKER,TOTAL,%  JAMS SKATED,POINTS,PPJ,LOST,LEAD,CALLED,NO INITIAL TRIP,STAR PASSES RECEIVED,LEAD %,LEAD +/-,AVERAGE LEAD +/-,PTS  FOR,PTS AGAINST,TOTAL +/-,JAMMER +/-,AVERAGE JAMMER +/-,PIVOT +/-,AVERAGE PIVOT +/-,BLOCK +/-,AVERAGE BLOCKER +/-,PACK +/-,"AVERAGE
PACK +/-",AVG +/-,VTAR PTS FOR,VTAR  PTS AGAINST,VTAR  TOTAL +/-,VTAR JAMMER AVG +/-,VTAR PIVOT AVG +/-,VTAR BLOCKER AVG +/-,"VTAR PACK
AVG +/-",TOTAL VTAR AVG +/-,SKATERS PENALTY COUNT
11,Polly Pushy Pants,0,0,10,10,23%,,,,,,,,,,,46,27,19,,,,,19,1.9,19,1.9,1.9,-23.3,-7.4,-15.9,,,-0.52,-0.5,-0.52,6
13,Surely Mental,3,0,3,6,14%,0,0,0,0,0,0,0,0%,0,,14,15,-1,-11,-3.67,,,10,3.33,10,3.33,-0.17,-55.3,-19.4,-35.9,-4.66,,0.92,0.94,-2.59,0
23,Sintilly,0,14,7,21,49%,,,,,,,,,,,134,49,85,,,67,4.79,18,2.57,85,4.05,4.05,64.7,14.6,50.1,,2.7,0.16,1.65,1.63,5
124,Ka-Blamazon,0,0,16,16,37%,,,,,,,,,,,112,46,66,,,,,66,4.13,66,4.13,4.13,42.7,11.6,31.1,,,1.71,1.73,1.7,3
31,Poptart,14,0,0,14,33%,102,7.29,2,8,7,0,0,57%,62,7.75,102,37,65,65,4.64,,,,,,,4.64,32.7,2.6,30.1,3.65,,,,2.22,3
42,Virginia Slam,0,0,14,14,33%,,,,,,,,,,,51,38,13,,,,,13,0.93,13,0.93,0.93,-18.3,3.6,-21.9,,,-1.49,-1.47,-1.49,3
53,Punch Bug,14,0,3,14,33%,53,3.79,1,10,9,2,0,71%,38,3.8,53,33,20,20,1.43,,,0,0,0,0,1.43,-16.3,-1.4,-14.9,0.43,,-2.42,-2.4,-0.99,3
57,Hines,0,1,18,19,44%,,,,,,,,,,,77,35,42,,,3,3,39,2.17,42,2.21,2.21,7.7,0.6,7.1,,0.92,-0.25,-0.19,-0.21,3
64,A-Bomb,0,0,12,12,28%,,,,,,,,,,,51,33,18,,,,,18,1.5,18,1.5,1.5,-18.3,-1.4,-16.9,,,-0.92,-0.9,-0.92,0
121,Jigglewatts,0,0,11,11,26%,,,,,,,,,,,38,28,10,,,,,10,0.91,10,0.91,0.91,-31.3,-6.4,-24.9,,,-1.51,-1.49,-1.51,3
220,Electra Cal,3,20,0,20,47%,0,0,0,0,0,0,3,,0,,77,41,36,0,0,36,1.8,,,36,1.8,1.8,7.7,6.6,1.1,-1,-0.28,,-0.6,-0.62,6
329,Elita One,0,6,16,22,51%,,,,,,,,,,,95,60,35,,,-7,-1.17,42,2.63,35,1.59,1.59,25.7,25.6,0.1,,-3.25,0.21,-0.81,-0.83,1
7,AKA Rogue,12,0,0,12,28%,54,4.5,0,4,4,0,0,33%,29,7.25,54,23,31,31,2.58,,,,,,,2.58,-15.3,-11.4,-3.9,1.59,,,,0.16,2
90,Acute Angle,0,1,16,17,40%,,,,,,,,,,,108,43,65,,,2,2,63,3.94,65,3.82,3.82,38.7,8.6,30.1,,-0.08,1.52,1.43,1.4,0
911,Toxic Moxie,0,0,4,4,9%,,,,,,,,,,,28,8,20,,,,,20,5,20,5,5,-41.3,-26.4,-14.9,,,2.58,2.6,2.58,1
