#,SKATER,,Misconduct,High Block,Back Block,Low Block,Leg Block,Forearms,Head Block,Multiplayer,Illegal Contact,Direction,Illegal Position,Cut,Interference,Illegal Procedure,,,TOTAL ,Penalty Count,Expulsion,Jams Skated,Penalties Per Jam
121,Jigglewatts,,1,0,0,0,0,0,0,0,0,0,1,1,0,0,,,3,3,,21,14%
124,Ka-Blamazon,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,1,1,,15,7%
18,Stitches,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,1,1,,22,5%
220,Electra Cal,,0,0,1,0,0,1,0,0,0,1,0,0,0,0,,,3,3,,24,13%
23,SinTilly,,0,0,0,0,0,1,0,0,0,1,0,0,0,1,,,3,3,,21,14%
329,Elita One,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,,2,2,,22,9%
42,Virginia Slam,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,2,2,,11,18%
43,Rosie the Riveter,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,12,0%
53,Punch Bug,,0,1,1,0,0,1,0,0,1,0,0,0,0,0,,,4,4,,14,29%
57,Hines,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,1,1,,19,5%
671,Ruff Edges,,0,0,0,2,0,0,0,0,0,0,1,0,0,0,,,3,3,,6,50%
7,AKA Rogue,,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,,3,3,,12,25%
777,SMASH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,0%
911,Toxic Moxie,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,2,0%
927,Bella No Way,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,1,1,,13,8%
