#,Skater,JAMMER,PIVOT,BLOCKER,TOTAL,%  JAMS SKATED,POINTS,PPJ,LOST,LEAD,CALLED,NO INITIAL TRIP,STAR PASSES RECEIVED,LEAD %,LEAD +/-,AVERAGE LEAD +/-,PTS  FOR,PTS AGAINST,TOTAL +/-,JAMMER +/-,AVERAGE JAMMER +/-,PIVOT +/-,AVERAGE PIVOT +/-,BLOCK +/-,AVERAGE BLOCKER +/-,PACK +/-,"AVERAGE
PACK +/-",AVG +/-,VTAR PTS FOR,VTAR  PTS AGAINST,VTAR  TOTAL +/-,VTAR JAMMER AVG +/-,VTAR PIVOT AVG +/-,VTAR BLOCKER AVG +/-,"VTAR PACK
AVG +/-",TOTAL VTAR AVG +/-,SKATERS PENALTY COUNT
121,Jigglewatts,0,12,11,23,48%,,,,,,,,,,,62,58,4,,,-12,-1,16,1.45,4,0.17,0.17,-10.7,7.1,-17.8,,-1.98,0.63,-0.72,-0.75,3
124,Ka- Blamazon,0,0,28,28,58%,,,,,,,,,,,105,61,44,,,,,44,1.57,44,1.57,1.57,32.3,10.1,22.2,,,0.75,0.68,0.65,3
18,Stitches,0,0,23,23,48%,,,,,,,,,,,98,46,52,,,,,52,2.26,52,2.26,2.26,25.3,-4.9,30.2,,,1.44,1.37,1.34,2
220,Electra Cal,0,27,4,31,65%,,,,,,,,,,,104,62,42,,,42,1.56,0,0,42,1.35,1.35,31.3,11.1,20.2,,0.58,-0.82,0.46,0.43,4
23,Sintilly Lace,0,5,21,26,54%,,,,,,,,,,,80,51,29,,,18,3.6,11,0.52,29,1.12,1.12,7.3,0.1,7.2,,2.62,-0.3,0.22,0.19,2
329,Elita One,0,4,23,27,56%,,,,,,,,,,,88,75,13,,,-1,-0.25,14,0.61,13,0.48,0.48,15.3,24.1,-8.8,,-1.23,-0.21,-0.41,-0.44,5
42,Virginia Slam,0,0,10,10,21%,,,,,,,,,,,32,36,-4,,,,,-4,-0.4,-4,-0.4,-0.4,-40.7,-14.9,-25.8,,,-1.22,-1.29,-1.32,1
43,Rosie the Riveter,15,0,0,15,31%,61,4.07,0,4,4,0,0,27%,30,7.5,61,37,24,24,1.6,,,,,,,1.6,-11.7,-13.9,2.2,0.6,,,,0.68,0
53,Punch Bug,16,0,0,16,33%,45,2.81,2,13,10,0,0,81%,23,1.77,45,30,15,15,0.94,,,,,,,0.94,-27.7,-20.9,-6.8,-0.07,,,,0.02,3
57,Hines,0,0,23,23,48%,,,,,,,,,,,71,58,13,,,,,13,0.57,13,0.57,0.57,-1.7,7.1,-8.8,,,-0.26,-0.33,-0.36,3
671,Ruff Edges,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AKA Rouge,17,0,0,17,35%,54,3.18,0,7,7,0,0,41%,46,6.57,54,46,8,8,0.47,,,,,,,0.47,-18.7,-4.9,-13.8,-0.53,,,,-0.45,2
777,Smash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,Toxic Moxie,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,Bella No Way,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
