#,SKATER,,Misconduct,High Block,Back Block,Low Block,Leg Block,Forearms,Head Block,Multiplayer,Illegal Contact,Direction,Illegal Position,Cut,Interference,Illegal Procedure,,,TOTAL ,Penalty Count,Expulsion,Jams Skated,Penalties Per Jam
121,Jigglewatts,,0,0,0,0,0,0,0,0,1,2,0,0,0,0,,,3,3,,23,13%
124,Ka- Blamazon,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,,,3,3,,28,11%
18,Stitches,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,2,2,,23,9%
220,Electra Cal,,0,0,0,2,0,1,0,0,0,1,0,0,0,0,,,4,4,,31,13%
23,Sintilly Lace,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,2,2,,26,8%
329,Elita One,,0,0,0,1,0,1,0,0,1,0,1,1,0,0,,,5,5,,27,19%
42,Virginia Slam,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,,10,10%
43,Rosie the Riveter,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,15,0%
53,Punch Bug,,1,0,0,0,0,0,0,0,0,0,0,2,0,0,,,3,3,,16,19%
57,Hines,,0,0,0,0,0,2,0,0,0,0,1,0,0,0,,,3,3,,23,13%
671,Ruff Edges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,
7,AKA Rouge,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,,2,2,,17,12%
777,Smash,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,
911,Toxic Moxie,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,
927,Bella No Way,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,
