#,Skater,JAMMER,PIVOT,BLOCKER,TOTAL,%  JAMS SKATED,POINTS,PPJ,LOST,LEAD,CALLED,NO INITIAL TRIP,STAR PASSES RECEIVED,LEAD %,LEAD +/-,AVERAGE LEAD +/-,PTS  FOR,PTS AGAINST,TOTAL +/-,JAMMER +/-,AVERAGE JAMMER +/-,PIVOT +/-,AVERAGE PIVOT +/-,BLOCK +/-,AVERAGE BLOCKER +/-,PACK +/-,"AVERAGE
PACK +/-",AVG +/-,VTAR PTS FOR,VTAR  PTS AGAINST,VTAR  TOTAL +/-,VTAR JAMMER AVG +/-,VTAR PIVOT AVG +/-,VTAR BLOCKER AVG +/-,"VTAR PACK
AVG +/-",TOTAL VTAR AVG +/-,SKATERS PENALTY COUNT
1130,Sass Machine,0,0,6,6,15%,,,,,,,,,,,31,0,31,,,,,31,5.17,31,5.17,5.17,-47.7,-19.3,-28.3,,,2.21,2.37,1.14,0
121,Jigglewatts,0,3,17,20,49%,,,,,,,,,,,116,33,83,,,12,4,71,4.18,83,4.15,4.15,37.3,13.7,23.7,,1.33,1.22,1.35,0.12,3
14,Sailor Zoom,4,0,2,5,12%,21,5.25,0,2,2,1,0,50%,5,2.5,23,6,17,17,4.25,,,0,0,0,0,3.4,-55.7,-13.3,-42.3,1.02,,-2.96,-2.8,-0.63,1
18,Stitches,0,0,16,16,39%,,,,,,,,,,,102,23,79,,,,,79,4.94,79,4.94,4.94,23.3,3.7,19.7,,,1.98,2.14,0.91,2
329,Elita One,4,19,3,22,54%,8,2,0,0,0,0,4,,0,,121,33,88,8,2,71,3.74,9,3,80,3.64,4,42.3,13.7,28.7,-1.23,1.07,0.04,0.84,-0.03,3
404,Ginja Ninja,0,0,18,18,44%,,,,,,,,,,,107,25,82,,,,,82,4.56,82,4.56,4.56,28.3,5.7,22.7,,,1.6,1.75,0.53,3
43,Rosie The Riveter,12,1,0,13,32%,110,9.17,2,10,8,1,0,83%,94,9.4,110,19,91,93,7.75,-2,-2,,,-2,-2,7,31.3,-0.3,31.7,4.52,-4.67,,-4.8,2.97,4
53,Punch Bug,0,18,0,18,44%,,,,,,,,,,,112,23,89,,,89,4.94,,,89,4.94,4.94,33.3,3.7,29.7,,2.27,,2.14,0.92,4
548,Groot Force,0,0,18,18,44%,,,,,,,,,,,112,23,89,,,,,89,4.94,89,4.94,4.94,33.3,3.7,29.7,,,1.99,2.14,0.92,0
671,Ruff Edges,10,0,1,11,27%,70,7,2,7,5,0,0,70%,50,7.14,70,17,53,55,5.5,,,-2,-2,-2,-2,4.82,-8.7,-2.3,-6.3,2.27,,-4.96,-4.8,0.79,2
777,SMASH,0,0,18,18,44%,,,,,,,,,,,101,33,68,,,,,68,3.78,68,3.78,3.78,22.3,13.7,8.7,,,0.82,0.98,-0.25,4
79,Ellen R.I.Pley,5,0,1,5,12%,3,0.6,1,2,2,1,0,40%,3,1.5,3,9,-6,-6,-1.2,,,0,0,0,0,-1.2,-75.7,-10.3,-65.3,-4.43,,-2.96,-2.8,-5.23,2
86,Lil Red Right Hook,0,0,16,16,39%,,,,,,,,,,,108,23,85,,,,,85,5.31,85,5.31,5.31,29.3,3.7,25.7,,,2.35,2.51,1.28,1
927,Bella NoWay,10,0,3,11,27%,24,2.4,3,6,4,2,0,60%,18,3,30,15,15,11,1.1,,,4,1.33,4,1.33,1.36,-48.7,-4.3,-44.3,-2.13,,-1.62,-1.47,-2.66,4
97,Briggie Smalls,0,0,8,8,20%,,,,,,,,,,,34,8,26,,,,,26,3.25,26,3.25,3.25,-44.7,-11.3,-33.3,,,0.29,0.45,-0.78,0
