#,SKATER,,Misconduct,High Block,Back Block,Low Block,Leg Block,Forearms,Head Block,Multiplayer,Illegal Contact,Direction,Illegal Position,Cut,Interference,Illegal Procedure,,,TOTAL ,Penalty Count,Expulsion,Jams Skated,Penalties Per Jam
121,Jigglewatts,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,,2,2,,23,9%
124,Ka-Blamazon,,0,0,0,0,0,4,0,0,0,2,0,0,0,0,,,6,6,,19,32%
18,Stitches,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,18,0%
220,Electra Cal,,0,0,0,0,0,0,0,1,0,1,0,1,0,0,,,3,3,,21,14%
23,Sintilly,,0,0,0,0,0,1,0,2,1,2,0,1,1,0,,,8,8,,21,38%
329,Elita One,,0,0,0,1,0,1,0,0,0,1,1,0,0,0,,,4,4,,14,29%
42,Virginia Slam,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,,2,2,,18,11%
43,Rosie the Riveter,,0,0,1,0,0,0,0,1,1,0,0,0,1,0,,,4,4,,13,31%
53,Punch Bug,,0,0,0,1,0,1,0,0,0,1,0,2,0,0,,,5,5,,19,26%
57,Hines,,0,1,0,0,0,1,0,0,0,2,0,0,0,0,,,4,4,,22,18%
671,Ruff Edges,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,1,1,,2,50%
7,AKA Rogue,,0,0,0,0,0,0,0,0,0,0,0,5,1,0,,,6,6,,12,50%
777,SMASH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,
911,Toxic Moxie,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,0%
927,Bella No Way,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,7,0%
