#,SKATER,,Misconduct,High Block,Back Block,Low Block,Leg Block,Forearms,Head Block,Multiplayer,Illegal Contact,Direction,Illegal Position,Cut,Interference,Illegal Procedure,,,TOTAL ,Penalty Count,Expulsion,Jams Skated,Penalties Per Jam
121,Jigglewatts,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,2,2,,21,10%
124,Ka-Blamazon,,0,2,0,0,0,1,0,1,0,0,1,1,0,0,,,6,6,,27,22%
18,Stitches,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,23,0%
220,Electra Cal,,0,0,0,0,0,1,0,0,0,2,0,0,0,0,,,3,3,,25,12%
23,SinTilly,,0,0,1,0,0,3,0,1,0,1,0,0,0,0,,,6,6,,18,33%
329,Elita One,,0,1,0,1,0,0,0,1,0,0,0,0,1,0,,,4,4,,25,16%
42,Virginia Slam,,0,0,0,0,0,1,0,1,0,0,1,0,0,0,,,3,3,,17,18%
43,Rosie the Riveter,,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,,5,5,,16,31%
53,Punch Bug,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,,15,7%
64,A-Bomb,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,4,0%
671,Ruff Edges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,
7,AKA Rogue,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,1,1,,14,7%
777,SMASH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,
911,Toxic Moxie,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,
927,Bella  No Way,,0,0,0,0,0,1,0,0,0,2,1,0,0,0,,,4,4,,19,21%
