#,Skater,JAMMER,PIVOT,BLOCKER,TOTAL,%  JAMS SKATED,POINTS,PPJ,LOST,LEAD,CALLED,NO INITIAL TRIP,STAR PASSES RECEIVED,LEAD %,LEAD +/-,AVERAGE LEAD +/-,PTS  FOR,PTS AGAINST,TOTAL +/-,JAMMER +/-,AVERAGE JAMMER +/-,PIVOT +/-,AVERAGE PIVOT +/-,BLOCK +/-,AVERAGE BLOCKER +/-,PACK +/-,"AVERAGE
PACK +/-",AVG +/-,VTAR PTS FOR,VTAR  PTS AGAINST,VTAR  TOTAL +/-,VTAR JAMMER AVG +/-,VTAR PIVOT AVG +/-,VTAR BLOCKER AVG +/-,"VTAR PACK
AVG +/-",TOTAL VTAR AVG +/-,SKATERS PENALTY COUNT
121,Jigglewatts,0,7,18,25,51%,,,,,,,,,,,75,83,-8,,,-6,-0.86,-2,-0.11,-8,-0.32,-0.32,21.1,28,-6.9,,-0.68,0.4,0.04,-0.03,5
124,KaBlamazon,0,0,21,21,43%,,,,,,,,,,,59,56,3,,,,,3,0.14,3,0.14,0.14,5.1,1,4.1,,,0.65,0.51,0.43,4
13,Surely Mental,1,0,14,15,31%,0,0,0,0,0,0,0,0%,0,,44,40,4,-3,-3,,,7,0.5,7,0.5,0.27,-9.9,-15,5.1,-2.39,,1.01,0.86,0.56,1
18,Stitches,0,0,25,25,51%,,,,,,,,,,,74,72,2,,,,,2,0.08,2,0.08,0.08,20.1,17,3.1,,,0.59,0.44,0.37,4
220,Electra Cal,0,22,9,31,63%,,,,,,,,,,,97,109,-12,,,-1,-0.05,-11,-1.22,-12,-0.39,-0.39,43.1,54,-10.9,,0.13,-0.71,-0.02,-0.1,5
23,Lacey…,0,14,16,30,61%,,,,,,,,,,,89,100,-11,,,5,0.36,-16,-1,-11,-0.37,-0.37,35.1,45,-9.9,,0.53,-0.49,0,-0.08,7
31,Poptart,8,3,4,15,31%,20,2.5,1,4,3,0,0,50%,14,3.5,45,47,-2,4,0.5,-1,-0.33,-5,-1.25,-6,-0.86,-0.13,-8.9,-8,-0.9,1.11,-0.16,-0.74,-0.49,0.16,3
329,Elita One,0,3,22,25,51%,,,,,,,,,,,79,76,3,,,0,0,3,0.14,3,0.12,0.12,25.1,21,4.1,,0.18,0.65,0.48,0.41,3
42,Virginia Slam,0,0,15,15,31%,,,,,,,,,,,51,42,9,,,,,9,0.6,9,0.6,0.6,-2.9,-13,10.1,,,1.11,0.96,0.89,1
43,Rose…,14,0,0,14,29%,51,3.64,0,5,5,1,0,36%,40,8,51,41,10,10,0.71,,,,,,,0.71,-2.9,-14,11.1,1.32,,,,1,2
53,Punch Bug,14,0,0,14,29%,51,3.64,3,8,7,1,0,57%,33,4.13,51,43,8,8,0.57,,,,,,,0.57,-2.9,-12,9.1,1.18,,,,0.86,3
64,A-Bomb,0,0,2,2,4%,,,,,,,,,,,11,2,9,,,,,9,4.5,9,4.5,4.5,-42.9,-53,10.1,,,5.01,4.86,4.79,0
7,AKA Rogue,12,0,0,12,24%,29,2.42,1,4,3,0,0,33%,7,1.75,29,51,-22,-22,-1.83,,,,,,,-1.83,-24.9,-4,-20.9,-1.22,,,,-1.54,2
911,Toxic Moxie,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,Bella No Way,0,0,1,1,2%,,,,,,,,,,,0,8,-8,,,,,-8,-8,-8,-8,-8,-53.9,-47,-6.9,,,-7.49,-7.64,-7.71,0
