#,Skater,JAMMER,PIVOT,BLOCKER,TOTAL,%  JAMS SKATED,POINTS,PPJ,LOST,LEAD,CALLED,NO INITIAL TRIP,STAR PASSES RECEIVED,LEAD %,LEAD +/-,AVERAGE LEAD +/-,PTS  FOR,PTS AGAINST,TOTAL +/-,JAMMER +/-,AVERAGE JAMMER +/-,PIVOT +/-,AVERAGE PIVOT +/-,BLOCK +/-,AVERAGE BLOCKER +/-,PACK +/-,"AVERAGE
PACK +/-",AVG +/-,VTAR PTS FOR,VTAR  PTS AGAINST,VTAR  TOTAL +/-,VTAR JAMMER AVG +/-,VTAR PIVOT AVG +/-,VTAR BLOCKER AVG +/-,"VTAR PACK
AVG +/-",TOTAL VTAR AVG +/-,SKATERS PENALTY COUNT
121,Jigglewatts,0,2,20,22,48%,,,,,,,,,,,87,58,29,,,-7,-3.5,36,1.8,29,1.32,1.32,0.6,16.9,-16.4,,-7.06,-0.1,-0.55,-1.1,1
124,Ka-Blamazon,0,1,16,17,37%,,,,,,,,,,,104,27,77,,,16,16,61,3.81,77,4.53,4.53,17.6,-14.1,31.6,,12.44,1.92,2.67,2.12,5
13,Surely Mental,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Stitches,0,0,21,21,46%,,,,,,,,,,,148,48,100,,,,,100,4.76,100,4.76,4.76,61.6,6.9,54.6,,,2.86,2.9,2.35,1
220,Electra Cal,2,21,9,31,67%,4,2,0,0,0,1,1,0%,0,,181,68,113,0,0,94,4.48,19,2.11,113,3.77,3.65,94.6,26.9,67.6,-2.33,0.91,0.21,1.9,1.23,3
23,Sintilly Lace,0,19,7,26,57%,,,,,,,,,,,100,73,27,,,17,0.89,10,1.43,27,1.04,1.04,13.6,31.9,-18.4,,-2.67,-0.47,-0.83,-1.37,4
31,Poptart,13,1,0,14,30%,45,3.46,0,10,7,0,0,77%,31,3.1,49,29,20,20,1.54,0,0,,,0,0,1.43,-37.4,-12.1,-25.4,-0.79,-3.56,,-1.86,-0.98,1
329,Elita One,0,2,24,26,57%,,,,,,,,,,,163,71,92,,,7,3.5,85,3.54,92,3.54,3.54,76.6,29.9,46.6,,-0.06,1.64,1.67,1.13,0
42,Virginia Slim,0,0,15,15,33%,,,,,,,,,,,60,44,16,,,,,16,1.07,16,1.07,1.07,-26.4,2.9,-29.4,,,-0.83,-0.8,-1.35,3
43,Rosie the iveter,11,0,0,11,24%,86,7.82,0,8,6,0,0,73%,62,7.75,86,27,59,59,5.36,,,,,,,5.36,-0.4,-14.1,13.6,3.03,,,,2.95,0
53,Punch Bug,12,0,1,12,26%,69,5.75,1,7,4,1,0,58%,51,7.29,69,48,21,21,1.75,,,0,0,0,0,1.75,-17.4,6.9,-24.4,-0.58,,-1.9,-1.86,-0.66,3
57,Hines,0,0,23,23,50%,,,,,,,,,,,106,52,54,,,,,54,2.35,54,2.35,2.35,19.6,10.9,8.6,,,0.45,0.48,-0.07,5
64,A-Bomb,0,0,1,1,2%,,,,,,,,,,,12,12,0,,,,,0,0,0,0,0,-74.4,-29.1,-45.4,,,-1.9,-1.86,-2.41,0
7,AKA Rogue,9,0,0,9,20%,38,4.22,1,8,5,0,0,89%,30,3.75,38,11,27,27,3,,,,,,,3,-48.4,-30.1,-18.4,0.67,,,,0.59,1
911,Toxic Moxie,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,Bella No Way,0,0,2,2,4%,,,,,,,,,,,7,7,0,,,,,0,0,0,0,0,-79.4,-34.1,-45.4,,,-1.9,-1.86,-2.41,1
