,#,Skater,JAMMER,PIVOT,BLOCKER,Team
6,671,Ruff Edges,5.0,13.0,1.0,Brawls
7,77,Jack Knife,0.0,0.0,25.0,Brawls
8,777,SMASH,14.0,0.0,0.0,Brawls
9,79,Ellen R.I.Pley,12.0,0.0,0.0,Brawls
10,815,FormaldeHeidi,0.0,0.0,6.0,Brawls
11,86,Lil' Red Right Hook,6.0,0.0,14.0,Brawls
12,911,Toxic Moxie,0.0,1.0,25.0,Brawls
13,927,Bella NoWay,0.0,1.0,25.0,Brawls
14,97,Briggie Smalls,0.0,0.0,17.0,Brawls
15,,,,,,Brawls
16,,,,,,Brawls
17,,,,,,Brawls
18,,,,,,Brawls
19,,,,,,Brawls
20,TEAM SUMMARIES,,51.0,49.0,149.0,Brawls
0,121,Jigglewatts,0.0,12.0,11.0,Alls
1,124,Ka- Blamazon,0.0,0.0,28.0,Alls
2,18,Stitches,0.0,0.0,23.0,Alls
3,220,Electra Cal,0.0,27.0,4.0,Alls
4,23,Sintilly Lace,0.0,5.0,21.0,Alls
5,329,Elita One,0.0,4.0,23.0,Alls
6,42,Virginia Slam,0.0,0.0,10.0,Alls
7,43,Rosie the Riveter,15.0,0.0,0.0,Alls
8,53,Punch Bug,16.0,0.0,0.0,Alls
9,57,Hines,0.0,0.0,23.0,Alls
10,671,Ruff Edges,0.0,0.0,0.0,Alls
11,7,AKA Rouge,17.0,0.0,0.0,Alls
12,777,Smash,0.0,0.0,0.0,Alls
13,911,Toxic Moxie,0.0,0.0,0.0,Alls
14,927,Bella No Way,0.0,0.0,0.0,Alls
0,121,Jigglewatts,0.0,7.0,16.0,Alls
1,124,Ka-Blamazon,0.0,0.0,19.0,Alls
2,18,Stitches,0.0,0.0,18.0,Alls
3,220,Electra Cal,4.0,6.0,16.0,Alls
4,23,Sintilly,2.0,14.0,7.0,Alls
5,329,Elita One,9.0,2.0,4.0,Alls
6,42,Virginia Slam,0.0,0.0,18.0,Alls
7,43,Rosie the Riveter,13.0,0.0,1.0,Alls
8,53,Punch Bug,7.0,13.0,2.0,Alls
9,57,Hines,0.0,0.0,22.0,Alls
10,671,Ruff Edges,2.0,0.0,0.0,Alls
11,7,AKA Rogue,12.0,0.0,2.0,Alls
12,777,SMASH,0.0,0.0,0.0,Alls
13,911,Toxic Moxie,0.0,0.0,1.0,Alls
14,927,Bella No Way,0.0,0.0,7.0,Alls
0,121,Jigglewatts,0.0,9.0,12.0,Alls
1,124,Ka-Blamazon,0.0,0.0,15.0,Alls
2,18,Stitches,0.0,0.0,22.0,Alls
3,220,Electra Cal,0.0,19.0,5.0,Alls
4,23,SinTilly,1.0,15.0,6.0,Alls
5,329,Elita One,0.0,0.0,22.0,Alls
6,42,Virginia Slam,0.0,0.0,11.0,Alls
7,43,Rosie the Riveter,12.0,0.0,0.0,Alls
8,53,Punch Bug,14.0,0.0,0.0,Alls
9,57,Hines,0.0,0.0,19.0,Alls
10,671,Ruff Edges,5.0,0.0,1.0,Alls
11,7,AKA Rogue,12.0,0.0,0.0,Alls
12,777,SMASH,0.0,0.0,1.0,Alls
13,911,Toxic Moxie,0.0,0.0,2.0,Alls
14,927,Bella No Way,0.0,0.0,13.0,Alls
0,14,Sailor Zoom,10.0,0.0,0.0,Brawls
1,27,Otter Chaos,0.0,0.0,12.0,Brawls
2,3019,Éowound of Roharm,11.0,0.0,1.0,Brawls
3,454,Scream,0.0,0.0,2.0,Brawls
4,548,GrootForce,2.0,14.0,7.0,Brawls
5,64,A-Bomb,0.0,3.0,18.0,Brawls
6,671,Ruff Edges,11.0,0.0,0.0,Brawls
7,762,Killer Miller,0.0,0.0,12.0,Brawls
8,77,Jack Knife,3.0,6.0,17.0,Brawls
9,777,SMASH,3.0,0.0,14.0,Brawls
10,79,Ellen R.I.P.ley,7.0,0.0,0.0,Brawls
11,815,FormaldeHeidi,0.0,0.0,11.0,Brawls
12,86,Lil' Red Right Hook,3.0,19.0,2.0,Brawls
13,97,Briggie Smalls,0.0,0.0,14.0,Brawls
14,911,Toxic Moxie,0.0,0.0,16.0,Brawls
0,121,Jigglewatts,0.0,18.0,3.0,Alls
1,124,Ka-Blamazon,0.0,0.0,27.0,Alls
2,18,Stitches,0.0,0.0,23.0,Alls
3,220,Electra Cal,0.0,25.0,0.0,Alls
4,23,SinTilly,0.0,2.0,16.0,Alls
5,329,Elita One,0.0,0.0,25.0,Alls
6,42,Virginia Slam,0.0,0.0,17.0,Alls
7,43,Rosie the Riveter,16.0,0.0,0.0,Alls
8,53,Punch Bug,15.0,0.0,0.0,Alls
9,64,A-Bomb,0.0,0.0,4.0,Alls
10,671,Ruff Edges,0.0,0.0,0.0,Alls
11,7,AKA Rogue,14.0,0.0,0.0,Alls
12,777,SMASH,0.0,0.0,0.0,Alls
13,911,Toxic Moxie,0.0,0.0,0.0,Alls
14,927,Bella  No Way,0.0,0.0,19.0,Alls
0,14,Salior Zoom,9.0,0.0,0.0,Brawls
1,187,Princess Die,0.0,0.0,24.0,Brawls
2,3019,Éowound of Roharm,12.0,0.0,0.0,Brawls
3,369,Whiskey Kitty,0.0,0.0,8.0,Brawls
4,548,GrootForce,0.0,18.0,7.0,Brawls
5,64,A-Bomb,0.0,8.0,16.0,Brawls
6,671,Ruff Edges,13.0,0.0,0.0,Brawls
7,762,Killer Miller,0.0,0.0,4.0,Brawls
8,77,Jack Knife,0.0,20.0,4.0,Brawls
9,777,Smash,0.0,0.0,18.0,Brawls
10,79,Ellen RIPley,13.0,0.0,0.0,Brawls
11,815,FormaldeHeidi,0.0,0.0,4.0,Brawls
12,86,Lil' Red Right Hook,0.0,1.0,21.0,Brawls
13,911,Toxic Moxie,0.0,0.0,17.0,Brawls
14,97,Briggie Smalls,0.0,0.0,18.0,Brawls
15,27,Otter Chaos,0.0,0.0,0.0,Brawls
16,454,Screama Williams,0.0,0.0,0.0,Brawls
