#,SKATER,,Misconduct,High Block,Back Block,Low Block,Leg Block,Forearms,Head Block,Multiplayer,Illegal Contact,Direction,Illegal Position,Cut,Interference,Illegal Procedure,,,TOTAL ,Penalty Count,Expulsion,Jams Skated,Penalties Per Jam
14,Sailor Zoom,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,1,1,,16,6%
187,Princess DIE,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,2,2,,9,22%
3019,Eowound of Roharm,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,,13,8%
369,Whiskey Kitty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,10,0%
48,Sandra Deemon,,0,0,0,0,0,1,0,0,0,0,2,0,0,1,,,4,4,,10,40%
548,GrootForce,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,23,0%
671,Ruff Edges,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,1,1,,19,5%
77,Jack Knife,,0,0,0,0,0,1,0,0,0,3,1,1,0,0,,,6,6,,25,24%
777,SMASH,,0,0,1,0,0,0,0,0,0,0,1,4,0,0,,,6,6,,13,46%
79,Ellen R.I.Pley,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,2,2,,12,17%
815,FormaldeHeidi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,6,0%
86,Lil' Red Right Hook,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,2,2,,20,10%
911,Toxic Moxie,,0,0,0,0,0,1,0,0,0,2,1,0,0,0,,,4,4,,26,15%
927,Bella NoWay,,0,0,0,0,0,1,0,0,0,1,1,1,0,0,,,4,4,,26,15%
97,Briggie Smalls,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,2,2,,17,12%
