#,SKATER,,Misconduct,High Block,Back Block,Low Block,Leg Block,Forearms,Head Block,Multiplayer,Illegal Contact,Direction,Illegal Position,Cut,Interference,Illegal Procedure,,,TOTAL ,Penalty Count,Expulsion,Jams Skated,Penalties Per Jam
121,Jigglewatts,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,1,1,,22,5%
124,Ka-Blamazon,,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,,3,3,,24,13%
13,Surely Mental,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,10,0%
18,Stitches,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,8,0%
220,Electra Cal,,0,1,0,1,0,1,0,1,0,0,0,0,0,0,,,4,4,,26,15%
23,Sintilly,,0,0,1,1,0,1,0,1,0,1,1,0,0,0,,,6,6,,24,25%
31,Poptart,,0,0,0,0,0,1,0,1,0,0,0,5,0,0,,,7,7,,13,54%
329,Elita One,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,21,0%
42,Virginia Slam,,0,0,1,0,0,0,0,1,0,1,0,1,0,0,,,4,4,,17,24%
43,Rosie the Riveter,,0,0,0,2,0,0,0,0,0,0,0,1,0,0,,,3,3,,12,25%
53,Punch Bug,,0,0,0,0,0,1,0,0,0,1,0,1,0,0,,,3,3,,13,23%
57,Hines,,0,0,0,0,0,0,0,0,0,3,0,0,0,0,,,3,3,,23,13%
64,A-Bomb,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,2,2,,8,25%
7,AKA Rogue,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,1,1,,11,9%
911,Toxic Moxie,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,
