#,Skater,JAMMER,PIVOT,BLOCKER,TOTAL,%  JAMS SKATED,POINTS,PPJ,LOST,LEAD,CALLED,NO INITIAL TRIP,STAR PASSES RECEIVED,LEAD %,LEAD +/-,AVERAGE LEAD +/-,PTS  FOR,PTS AGAINST,TOTAL +/-,JAMMER +/-,AVERAGE JAMMER +/-,PIVOT +/-,AVERAGE PIVOT +/-,BLOCK +/-,AVERAGE BLOCKER +/-,PACK +/-,"AVERAGE
PACK +/-",AVG +/-,VTAR PTS FOR,VTAR  PTS AGAINST,VTAR  TOTAL +/-,VTAR JAMMER AVG +/-,VTAR PIVOT AVG +/-,VTAR BLOCKER AVG +/-,"VTAR PACK
AVG +/-",TOTAL VTAR AVG +/-,SKATERS PENALTY COUNT
121,Jigglewatts,0,19,3,22,47%,,,,,,,,,,,106,59,47,,,40,2.11,7,2.33,47,2.14,2.14,31.9,21,10.9,,0.84,-0.13,-0.27,0.03,1
124,Ka-Blamazon,0,0,24,24,51%,,,,,,,,,,,98,50,48,,,,,48,2,48,2,2,23.9,12,11.9,,,-0.47,-0.4,-0.11,3
13,Surely Mental,0,1,9,10,21%,,,,,,,,,,,37,30,7,,,-3,-3,10,1.11,7,0.7,0.7,-37.1,-8,-29.1,,-4.26,-1.35,-1.7,-1.41,0
18,Stitches,0,0,8,8,17%,,,,,,,,,,,53,23,30,,,,,30,3.75,30,3.75,3.75,-21.1,-15,-6.1,,,1.28,1.35,1.64,0
220,Electra Cal,0,21,5,26,55%,,,,,,,,,,,106,53,53,,,41,1.95,12,2.4,53,2.04,2.04,31.9,15,16.9,,0.69,-0.07,-0.37,-0.07,4
23,Sintilly,0,6,18,24,51%,,,,,,,,,,,118,43,75,,,24,4,51,2.83,75,3.13,3.13,43.9,5,38.9,,2.74,0.37,0.72,1.02,6
31,Poptart,11,0,2,13,28%,46,4.18,3,5,3,0,0,45%,16,3.2,62,48,14,1,0.09,,,13,6.5,13,6.5,1.08,-12.1,10,-22.1,-2.05,,4.03,4.1,-1.03,7
329,Elita One,0,0,21,21,45%,,,,,,,,,,,103,40,63,,,,,63,3,63,3,3,28.9,2,26.9,,,0.53,0.6,0.89,0
42,Virginia Slam,0,0,17,17,36%,,,,,,,,,,,67,46,21,,,,,21,1.24,21,1.24,1.24,-7.1,8,-15.1,,,-1.23,-1.17,-0.87,4
43,Rosie the Riveter,12,0,0,12,26%,98,8.17,1,6,4,0,0,50%,56,9.33,98,31,67,67,5.58,,,,,,,5.58,23.9,-7,30.9,3.44,,,,3.48,3
53,Punch Bug,13,0,0,13,28%,33,2.54,0,7,7,0,0,54%,30,4.29,33,20,13,13,1,,,,,,,1,-41.1,-18,-23.1,-1.15,,,,-1.11,3
57,Hines,0,0,23,23,49%,,,,,,,,,,,99,51,48,,,,,48,2.09,48,2.09,2.09,24.9,13,11.9,,,-0.38,-0.32,-0.02,3
64,A-Bomb,0,0,8,8,17%,,,,,,,,,,,25,26,-1,,,,,-1,-0.13,-1,-0.13,-0.13,-49.1,-12,-37.1,,,-2.59,-2.53,-2.23,2
7,AKA Rogue,11,0,0,11,23%,33,3,0,8,8,0,0,73%,31,3.88,33,12,21,21,1.91,,,,,,,1.91,-41.1,-26,-15.1,-0.24,,,,-0.2,1
911,Toxic Moxie,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
