#,Skater,JAMMER,PIVOT,BLOCKER,TOTAL,%  JAMS SKATED,POINTS,PPJ,LOST,LEAD,CALLED,NO INITIAL TRIP,STAR PASSES RECEIVED,LEAD %,LEAD +/-,AVERAGE LEAD +/-,PTS  FOR,PTS AGAINST,TOTAL +/-,JAMMER +/-,AVERAGE JAMMER +/-,PIVOT +/-,AVERAGE PIVOT +/-,BLOCK +/-,AVERAGE BLOCKER +/-,PACK +/-,"AVERAGE
PACK +/-",AVG +/-,VTAR PTS FOR,VTAR  PTS AGAINST,VTAR  TOTAL +/-,VTAR JAMMER AVG +/-,VTAR PIVOT AVG +/-,VTAR BLOCKER AVG +/-,"VTAR PACK
AVG +/-",TOTAL VTAR AVG +/-,SKATERS PENALTY COUNT
121,Jigglewatts,0,18,3,21,47%,,,,,,,,,,,93,81,12,,,17,0.94,-5,-1.67,12,0.57,0.57,22,19.8,2.3,,-0.4,-1.79,0.17,0.12,2
124,Ka-Blamazon,0,0,27,27,60%,,,,,,,,,,,112,89,23,,,,,23,0.85,23,0.85,0.85,41,27.8,13.3,,,0.73,0.45,0.4,6
18,Stitches,0,0,23,23,51%,,,,,,,,,,,71,50,21,,,,,21,0.91,21,0.91,0.91,0,-11.3,11.3,,,0.79,0.51,0.46,0
220,Electra Cal,0,25,0,25,56%,,,,,,,,,,,95,93,2,,,2,0.08,,,2,0.08,0.08,24,31.8,-7.8,,-1.26,,-0.33,-0.37,3
23,SinTilly,0,2,16,18,40%,,,,,,,,,,,80,73,7,,,6,3,1,0.06,7,0.39,0.39,9,11.8,-2.8,,1.66,-0.06,-0.02,-0.06,6
329,Elita One,0,0,25,25,56%,,,,,,,,,,,77,66,11,,,,,11,0.44,11,0.44,0.44,6,4.8,1.3,,,0.31,0.03,-0.01,4
42,Virginia Slam,0,0,17,17,38%,,,,,,,,,,,62,68,-6,,,,,-6,-0.35,-6,-0.35,-0.35,-9,6.8,-15.8,,,-0.48,-0.76,-0.8,3
43,Rosie the Riveter,16,0,0,16,36%,66,4.13,1,7,6,0,0,44%,24,3.43,66,70,-4,-4,-0.25,,,,,,,-0.25,-5,8.8,-13.8,-0.84,,,,-0.7,5
53,Punch Bug,15,0,0,15,33%,72,4.8,0,9,9,0,0,60%,62,6.89,72,59,13,13,0.87,,,,,,,0.87,1,-2.3,3.3,0.28,,,,0.42,1
64,A-Bomb,0,0,4,4,9%,,,,,,,,,,,10,12,-2,,,,,-2,-0.5,-2,-0.5,-0.5,-61,-49.3,-11.8,,,-0.63,-0.91,-0.95,0
671,Ruff Edges,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AKA Rogue,14,0,0,14,31%,34,2.43,1,10,9,0,0,71%,26,2.6,34,18,16,16,1.14,,,,,,,1.14,-37,-43.3,6.3,0.56,,,,0.69,1
777,SMASH,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,Toxic Moxie,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,Bella  No Way,0,0,19,19,42%,,,,,,,,,,,80,56,24,,,,,24,1.26,24,1.26,1.26,9,-5.3,14.3,,,1.14,0.86,0.81,4
