#,SKATER,,Misconduct,High Block,Back Block,Low Block,Leg Block,Forearms,Head Block,Multiplayer,Illegal Contact,Direction,Illegal Position,Cut,Interference,Illegal Procedure,,,TOTAL ,Penalty Count,Expulsion,Jams Skated,Penalties Per Jam
1130,Sass Machine,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,1,1,,9,11%
121,Jigglewatts,,0,0,0,0,0,1,0,1,0,4,1,0,0,0,,,7,7,,18,39%
14,Sailor Zoom,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,,2,2,,5,40%
18,Stitches,,0,0,1,0,0,0,0,3,0,2,1,0,0,0,,,7,7,,13,54%
2586,Terror Masseuse,,0,0,0,0,0,1,0,1,0,1,3,1,0,0,,,7,7,,16,44%
27,Otter Chaos,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,4,0%
3019,Eowound of Roharm,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,4,0%
329,Elita One,,0,0,0,0,0,0,0,2,0,1,3,0,0,0,,,6,6,,23,26%
404,Ginja Ninja,,0,0,0,0,0,0,0,0,0,0,1,3,0,0,,,4,4,,19,21%
548,Groot Force,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,23,0%
671,Ruff Edges,,0,1,1,0,0,0,0,0,0,0,1,1,0,0,,,4,4,,13,31%
777,SMASH,,1,1,0,0,1,0,0,0,0,2,1,0,0,0,,,6,6,,16,38%
79,Ellen R.I.Pley,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,5,0%
86,Lil Red Right Hook,,0,1,0,0,0,5,0,0,0,0,1,0,0,0,,,7,7,,14,50%
927,Bella NoWay,,0,0,0,0,0,0,0,0,0,2,0,3,0,0,,,5,5,,13,38%
