#,Skater,JAMMER,PIVOT,BLOCKER,TOTAL,%  JAMS SKATED,POINTS,PPJ,LOST,LEAD,CALLED,NO INITIAL TRIP,STAR PASSES RECEIVED,LEAD %,LEAD +/-,AVERAGE LEAD +/-,PTS  FOR,PTS AGAINST,TOTAL +/-,JAMMER +/-,AVERAGE JAMMER +/-,PIVOT +/-,AVERAGE PIVOT +/-,BLOCK +/-,AVERAGE BLOCKER +/-,PACK +/-,"AVERAGE
PACK +/-",AVG +/-,VTAR PTS FOR,VTAR  PTS AGAINST,VTAR  TOTAL +/-,VTAR JAMMER AVG +/-,VTAR PIVOT AVG +/-,VTAR BLOCKER AVG +/-,"VTAR PACK
AVG +/-",TOTAL VTAR AVG +/-,SKATERS PENALTY COUNT
14,Sailor Zoom,9,7,1,16,33%,8,0.89,0,3,2,0,0,33%,4,1.33,27,70,-43,-11,-1.22,-36,-5.14,4,4,-32,-4,-2.69,-8,-9.3,1.3,0.56,-3.45,6.18,-1.53,-0.1,1
187,Princess DIE,0,0,9,9,18%,,,,,,,,,,,6,31,-25,,,,,-25,-2.78,-25,-2.78,-2.78,-29,-48.3,19.3,,,-0.59,-0.31,-0.19,2
3019,Eowound of Roharm,4,4,5,13,27%,3,0.75,0,1,1,0,0,25%,3,3,13,41,-28,-14,-3.5,-2,-0.5,-12,-2.4,-14,-1.56,-2.15,-22,-38.3,16.3,-1.71,1.2,-0.22,0.92,0.43,1
369,Whiskey Kitty,0,0,10,10,20%,,,,,,,,,,,23,20,3,,,,,3,0.3,3,0.3,0.3,-12,-59.3,47.3,,,2.48,2.77,2.89,0
48,Sandra Deemon,0,0,10,10,20%,,,,,,,,,,,36,52,-16,,,,,-16,-1.6,-16,-1.6,-1.6,1,-27.3,28.3,,,0.58,0.87,0.99,4
548,GrootForce,1,23,1,23,47%,12,12,0,0,0,0,1,,0,,60,152,-92,4,4,-92,-4,-4,-4,-96,-4,-4,25,72.7,-47.7,5.79,-2.3,-1.82,-1.53,-1.41,0
671,Ruff Edges,5,13,1,19,39%,6,1.2,0,2,2,0,0,40%,5,2.5,38,68,-30,-19,-3.8,-7,-0.54,-4,-4,-11,-0.79,-1.58,3,-11.3,14.3,-2.01,1.16,-1.82,1.69,1.01,1
77,Jack Knife,0,0,25,25,51%,,,,,,,,,,,51,134,-83,,,,,-83,-3.32,-83,-3.32,-3.32,16,54.7,-38.7,,,-1.14,-0.85,-0.73,6
777,SMASH,14,0,0,13,27%,38,2.71,2,7,5,0,1,54%,5,0.71,38,81,-43,-43,-3.07,,,,,,,-3.31,3,1.7,1.3,-1.28,,,,-0.72,6
79,Ellen R.I.Pley,12,0,0,12,24%,31,2.58,0,4,3,0,0,33%,24,6,31,72,-41,-41,-3.42,,,,,,,-3.42,-4,-7.3,3.3,-1.63,,,,-0.83,2
815,FormaldeHeidi,0,0,6,6,12%,,,,,,,,,,,8,22,-14,,,,,-14,-2.33,-14,-2.33,-2.33,-27,-57.3,30.3,,,-0.15,0.14,0.25,0
86,Lil' Red Right Hook,6,0,14,20,41%,7,1.17,0,2,2,0,0,33%,3,1.5,36,72,-36,-9,-1.5,,,-27,-1.93,-27,-1.93,-1.8,1,-7.3,8.3,0.29,,0.26,0.54,0.79,2
911,Toxic Moxie,0,1,25,26,53%,,,,,,,,,,,68,158,-90,,,-4,-4,-86,-3.44,-90,-3.46,-3.46,33,78.7,-45.7,,-2.3,-1.26,-0.99,-0.87,4
927,Bella NoWay,0,1,25,26,53%,,,,,,,,,,,48,87,-39,,,4,4,-43,-1.72,-39,-1.5,-1.5,13,7.7,5.3,,5.7,0.46,0.97,1.09,4
97,Briggie Smalls,0,0,17,17,35%,,,,,,,,,,,42,130,-88,,,,,-88,-5.18,-88,-5.18,-5.18,7,50.7,-43.7,,,-2.99,-2.7,-2.59,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAM SUMMARIES,,51,49,149,245,33%,105,2.14,2,19,15,0,2,39%,44,2.51,35,79,-44,-19,-2,-23,-2,-30,-2,-41,-2,-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35
