#,Skater,JAMMER,PIVOT,BLOCKER,TOTAL,%  JAMS SKATED,POINTS,PPJ,LOST,LEAD,CALLED,NO INITIAL TRIP,STAR PASSES RECEIVED,LEAD %,LEAD +/-,AVERAGE LEAD +/-,PTS  FOR,PTS AGAINST,TOTAL +/-,JAMMER +/-,AVERAGE JAMMER +/-,PIVOT +/-,AVERAGE PIVOT +/-,BLOCK +/-,AVERAGE BLOCKER +/-,PACK +/-,"AVERAGE
PACK +/-",AVG +/-,VTAR PTS FOR,VTAR  PTS AGAINST,VTAR  TOTAL +/-,VTAR JAMMER AVG +/-,VTAR PIVOT AVG +/-,VTAR BLOCKER AVG +/-,"VTAR PACK
AVG +/-",TOTAL VTAR AVG +/-,SKATERS PENALTY COUNT
14,Sailor Zoom,10,0,0,10,24%,12,1.2,0,2,1,3,0,20%,1,0.5,12,54,-42,-42,-4.2,,,,,,,-4.2,-15.2,-16.7,1.5,-1.7,,,,-0.79,1
27,Otter Chaos,0,0,12,12,29%,,,,,,,,,,,25,60,-35,,,,,-35,-2.92,-35,-2.92,-2.92,-2.2,-10.7,8.5,,,1.8,0.96,0.5,0
3019,Éowound of Roharm,11,0,1,12,29%,11,1,1,5,4,5,0,45%,7,1.4,11,56,-45,-37,-3.36,,,-8,-8,-8,-8,-3.75,-16.2,-14.7,-1.5,-0.86,,-3.28,-4.12,-0.34,3
454,Scream,0,0,2,2,5%,,,,,,,,,,,3,19,-16,,,,,-16,-8,-16,-8,-8,-24.2,-51.7,27.5,,,-3.28,-4.12,-4.59,0
548,GrootForce,2,14,7,21,50%,0,0,0,0,0,0,2,,0,,40,72,-32,0,0,-19,-1.36,-13,-1.86,-32,-1.52,-1.52,12.8,1.3,11.5,2.5,2.25,2.86,2.36,1.89,0
64,A-Bomb,0,3,18,21,50%,,,,,,,,,,,40,72,-32,,,-4,-1.33,-28,-1.56,-32,-1.52,-1.52,12.8,1.3,11.5,,2.27,3.16,2.36,1.89,0
671,Ruff Edges,11,0,0,11,26%,40,3.64,0,4,3,0,0,36%,15,3.75,40,38,2,2,0.18,,,,,,,0.18,12.8,-32.7,45.5,2.68,,,,3.6,0
762,Killer Miller,0,0,12,12,29%,,,,,,,,,,,15,54,-39,,,,,-39,-3.25,-39,-3.25,-3.25,-12.2,-16.7,4.5,,,1.47,0.63,0.16,1
77,Jack Knife,3,6,17,23,55%,1,0.33,0,0,0,0,3,,0,,58,150,-92,1,0.33,-53,-8.83,-40,-2.35,-93,-4.04,-4,30.8,79.3,-48.5,2.83,-5.23,2.37,-0.16,-0.59,4
777,SMASH,3,0,14,17,40%,1,0.33,2,0,0,0,0,0%,0,,35,72,-37,-31,-10.33,,,-6,-0.43,-6,-0.43,-2.18,7.8,1.3,6.5,-7.83,,4.29,3.45,1.24,4
79,Ellen R.I.P.ley,7,0,0,7,17%,17,2.43,0,1,0,1,0,14%,11,11,17,40,-23,-23,-3.29,,,,,,,-3.29,-10.2,-30.7,20.5,-0.79,,,,0.13,0
815,FormaldeHeidi,0,0,11,11,26%,,,,,,,,,,,25,67,-42,,,,,-42,-3.82,-42,-3.82,-3.82,-2.2,-3.7,1.5,,,0.9,0.06,-0.4,1
86,Lil' Red Right Hook,3,19,2,21,50%,2,0.67,0,0,0,0,3,,0,,35,119,-84,2,0.67,-55,-2.89,-31,-15.5,-86,-4.1,-4,7.8,48.3,-40.5,3.17,0.71,-10.78,-0.22,-0.59,4
97,Briggie Smalls,0,0,14,14,33%,,,,,,,,,,,19,76,-57,,,,,-57,-4.07,-57,-4.07,-4.07,-8.2,5.3,-13.5,,,0.65,-0.19,-0.66,1
911,Toxic Moxie,0,0,16,16,38%,,,,,,,,,,,33,111,-78,,,,,-78,-4.88,-78,-4.88,-4.88,5.8,40.3,-34.5,,,-0.16,-1,-1.46,3
