#,SKATER,,Misconduct,High Block,Back Block,Low Block,Leg Block,Forearms,Head Block,Multiplayer,Illegal Contact,Direction,Illegal Position,Cut,Interference,Illegal Procedure,,,TOTAL ,Penalty Count,Expulsion,Jams Skated,Penalties Per Jam
121,Jigglewatts,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,1,1,,22,5%
124,Ka-Blamazon,,0,1,0,0,0,1,0,2,0,0,1,0,0,0,,,5,5,,17,29%
13,Surely Mental,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,
18,Stitches,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,1,1,,21,5%
220,Electra Cal,,0,0,1,0,0,0,0,0,1,0,1,0,0,0,,,3,3,,31,10%
23,Sintilly Lace,,0,0,0,0,0,2,0,0,0,0,2,0,0,0,,,4,4,,26,15%
31,Poptart,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,1,1,,14,7%
329,Elita One,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,26,0%
42,Virginia Slim,,0,0,0,0,0,2,0,0,0,0,0,1,0,0,,,3,3,,15,20%
43,Rosie the iveter,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,11,0%
53,Punch Bug,,0,0,1,0,0,0,0,1,0,0,0,1,0,0,,,3,3,,12,25%
57,Hines,,0,0,0,0,0,3,0,0,0,2,0,0,0,0,,,5,5,,23,22%
64,A-Bomb,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,0%
7,AKA Rogue,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,1,1,,9,11%
911,Toxic Moxie,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,
927,Bella No Way,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,1,1,,2,50%
