#,SKATER,,Misconduct,High Block,Back Block,Low Block,Leg Block,Forearms,Head Block,Multiplayer,Illegal Contact,Direction,Illegal Position,Cut,Interference,Illegal Procedure,,,TOTAL ,Penalty Count,Expulsion,Jams Skated,Penalties Per Jam
14,Salior Zoom,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,3,3,,9,33%
187,Princess Die,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,,2,2,,24,8%
3019,Éowound of Roharm,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,12,0%
369,Whiskey Kitty,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,1,1,,8,13%
548,GrootForce,,0,0,0,2,0,1,0,0,0,0,0,0,0,0,,,3,3,,25,12%
64,A-Bomb,,0,0,1,2,0,0,0,1,1,0,2,0,0,0,,,7,7,,24,29%
671,Ruff Edges,,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,,3,3,,13,23%
762,Killer Miller,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,4,0%
77,Jack Knife,,0,2,0,0,0,0,0,1,0,0,0,0,0,0,,,3,3,,24,13%
777,Smash,,0,0,1,0,0,1,0,1,0,0,0,0,0,0,,,3,3,,18,17%
79,Ellen RIPley,,0,0,2,2,0,0,0,0,0,0,0,1,0,0,,,5,5,,13,38%
815,FormaldeHeidi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,4,0%
86,Lil' Red Right Hook,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,2,2,,22,9%
911,Toxic Moxie,,0,0,1,0,0,1,0,0,0,0,2,0,0,0,,,4,4,,17,24%
97,Briggie Smalls,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,,18,6%
27,Otter Chaos,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,
454,Screama Williams,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,
