#,Skater,JAMMER,PIVOT,BLOCKER,TOTAL,%  JAMS SKATED,POINTS,PPJ,LOST,LEAD,CALLED,NO INITIAL TRIP,STAR PASSES RECEIVED,LEAD %,LEAD +/-,AVERAGE LEAD +/-,PTS  FOR,PTS AGAINST,TOTAL +/-,JAMMER +/-,AVERAGE JAMMER +/-,PIVOT +/-,AVERAGE PIVOT +/-,BLOCK +/-,AVERAGE BLOCKER +/-,PACK +/-,"AVERAGE
PACK +/-",AVG +/-,VTAR PTS FOR,VTAR  PTS AGAINST,VTAR  TOTAL +/-,VTAR JAMMER AVG +/-,VTAR PIVOT AVG +/-,VTAR BLOCKER AVG +/-,"VTAR PACK
AVG +/-",TOTAL VTAR AVG +/-,SKATERS PENALTY COUNT
121,Jigglewatts,3,23,1,24,57%,4,1.33,0,0,0,0,3,,0,,53,205,-152,-4,-1.33,-150,-6.52,2,2,-148,-6.17,-6.33,19.9,81.9,-62,5.17,-1.05,6.71,-0.98,-0.59,4
124,Ka-Blamazon,0,0,21,21,50%,,,,,,,,,,,30,185,-155,,,,,-155,-7.38,-155,-7.38,-7.38,-3.1,61.9,-65,,,-2.67,-2.19,-1.64,3
13,Surley Mental,10,0,4,13,31%,26,2.6,0,2,1,1,0,20%,2,1,34,143,-109,-72,-7.2,,,-37,-9.25,-37,-9.25,-8.38,0.9,19.9,-19,-0.7,,-4.54,-4.06,-2.64,5
18,Stitches,0,0,20,20,48%,,,,,,,,,,,45,145,-100,,,,,-100,-5,-100,-5,-5,11.9,21.9,-10,,,-0.29,0.19,0.74,1
220,Electra Cal,1,15,9,24,57%,0,0,0,0,0,0,1,,0,,53,171,-118,-14,-14,-36,-2.4,-68,-7.56,-104,-4.33,-4.92,19.9,47.9,-28,-7.5,3.07,-2.85,0.86,0.82,1
329,Elita One,0,4,18,22,52%,,,,,,,,,,,63,147,-84,,,-30,-7.5,-54,-3,-84,-3.82,-3.82,29.9,23.9,6,,-2.03,1.71,1.37,1.92,2
42,Virginia Slam,0,0,21,21,50%,,,,,,,,,,,32,179,-147,,,,,-147,-7,-147,-7,-7,-1.1,55.9,-57,,,-2.29,-1.81,-1.26,4
53,Punch Bug,14,0,0,14,33%,36,2.77,1,5,2,0,0,36%,1,0.2,36,87,-51,-51,-3.64,,,,,,,-3.64,2.9,-36.1,39,2.86,,,,2.1,2
57,Hines,0,0,16,16,38%,,,,,,,,,,,28,88,-60,,,,,-60,-3.75,-60,-3.75,-3.75,-5.1,-35.1,30,,,0.96,1.44,1.99,6
671,Ruff Edges,5,0,1,5,12%,0,0,0,0,0,0,0,0%,0,,0,50,-50,-46,-9.2,,,-4,-4,-4,-4,-10,-33.1,-73.1,40,-2.7,,0.71,1.19,-4.26,1
777,Smash,0,0,3,3,7%,,,,,,,,,,,0,14,-14,,,,,-14,-4.67,-14,-4.67,-4.67,-33.1,-109.1,76,,,0.04,0.52,1.07,1
7,AKA Rogue,13,0,3,14,33%,20,1.54,0,4,4,1,0,31%,9,2.25,28,77,-49,-47,-3.62,,,-2,-0.67,-2,-0.67,-3.5,-5.1,-46.1,41,2.88,,4.04,4.52,2.24,4
911,Toxic Moxie,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,Bella NoWay,0,0,13,13,31%,,,,,,,,,,,28,109,-81,,,,,-81,-6.23,-81,-6.23,-6.23,-5.1,-14.1,9,,,-1.52,-1.04,-0.49,2
