#,SKATER,,Misconduct,High Block,Back Block,Low Block,Leg Block,Forearms,Head Block,Multiplayer,Illegal Contact,Direction,Illegal Position,Cut,Interference,Illegal Procedure,,,TOTAL ,Penalty Count,Expulsion,Jams Skated,Penalties Per Jam
121,Jigglewatts,,0,0,0,0,0,0,0,0,0,2,1,1,0,0,,,4,4,,24,17%
18,Stitches,,0,2,1,0,0,0,0,1,1,1,1,0,0,0,,,7,7,,20,35%
27,Otter Chaos,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,
3019,Eowound of Roharm,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,
329,Elita One,,0,0,0,0,0,2,0,0,1,1,1,1,0,0,,,6,6,,24,25%
369,Ally Tatro,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,0%
404,Ginja Ninja,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,2,2,,21,10%
43,Rosie The Riveter,,0,0,0,0,0,1,0,0,0,0,0,3,0,0,,,4,4,,16,25%
53,Punch Bug,,0,0,1,0,0,1,0,1,1,1,0,1,0,0,,,6,6,,22,27%
548,Groot Force,,0,0,0,1,0,2,0,1,0,0,1,1,0,0,,,6,6,,24,25%
671,Ruff Edges,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,2,2,,15,13%
777,SMASH,,0,1,1,0,0,1,0,1,0,1,0,0,0,0,,,5,5,,24,21%
79,Ellen R.I.Pley,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,
86,Lil Red Right Hook,,1,0,0,0,0,2,0,0,0,1,0,0,0,0,,,4,4,,15,27%
927,Bella NoWay,,1,0,1,0,0,0,0,0,1,1,0,0,0,0,,,4,4,,14,29%
