#,SKATER,,Misconduct,High Block,Back Block,Low Block,Leg Block,Forearms,Head Block,Multiplayer,Illegal Contact,Direction,Illegal Position,Cut,Interference,Illegal Procedure,,,TOTAL ,Penalty Count,Expulsion,Jams Skated,Penalties Per Jam
,,,,,,,,,,,,,,,,,,,,,,,
121,Jigglewatts,,0,0,0,0,0,0,0,1,1,3,0,0,0,1,,,6,6,,21,29%
124,KaBlamazon,,0,0,0,0,0,0,0,1,1,0,0,1,0,0,,,3,3,,22,14%
13,Surely Mental,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,2,2,,19,11%
18,Stitches,,0,0,0,0,0,0,0,2,0,0,1,0,0,0,,,3,3,,23,13%
220,Electra Cal,,0,0,0,0,0,3,0,0,0,0,1,0,0,0,,,4,4,,29,14%
23,Lacey…,,0,0,0,0,0,0,0,2,0,4,1,0,0,0,,,7,7,,26,27%
31,Poptart,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,,2,2,,14,14%
329,Elita One,,0,0,0,0,0,0,0,1,0,0,1,1,0,0,,,3,3,,28,11%
42,Virginia Slam,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,1,1,,8,13%
43,Rose…,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,1,1,,12,8%
53,Punch Bug,,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,,3,3,,13,23%
,,,,,,,,,,,,,,,,,,,,,,,
64,A-Bomb,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,5,0%
671,Ruff Edges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,
7,AKA Rogue,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,1,,8,13%
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
927,Bella No Way,,0,0,0,0,0,1,0,2,0,1,0,0,0,0,,,4,4,,7,57%
